iter	Passed	Remaining
261	641	1805
262	643	1802
263	645	1799
264	647	1796
265	649	1792
266	652	1790
267	654	1787
268	656	1784
269	658	1781
270	661	1778
271	663	1776
272	666	1773
273	668	1770
274	670	1767
275	672	1764
276	674	1761
277	677	1758
278	679	1755
279	681	1752
280	683	1749
281	686	1746
282	688	1743
283	690	1741
284	692	1738
285	695	1735
286	697	1732
287	699	1730
288	702	1727
289	704	1725
290	706	1722
291	709	1720
292	712	1718
293	714	1715
294	716	1712
295	718	1709
296	720	1706
297	723	1703
298	725	1700
299	727	1698
300	729	1695
301	732	1692
302	734	1689
303	736	1686
304	739	1684
305	741	1681
306	743	1678
307	745	1675
308	748	1673
309	750	1670
310	752	1667
311	754	1664
312	757	1661
313	759	1659
314	761	1656
315	764	1654
316	766	1651
317	768	1648
318	770	1645
319	773	1642
320	775	1640
321	777	1637
322	779	1634
323	782	1632
324	784	1629
325	786	1626
326	789	1624
327	791	1622
328	794	1619
329	796	1617
330	799	1614
331	801	1612
332	803	1609
333	806	1607
334	808	1604
335	811	1603
336	813	1600
337	815	1597
338	818	1595
339	820	1592
340	822	1589
341	824	1587
342	827	1584
343	829	1581
344	831	1579
345	834	1576
346	836	1573
347	838	1570
348	840	1567
349	842	1565
350	845	1562
351	847	1559
352	849	1557
353	851	1554
354	854	1551
355	856	1549
356	858	1547
357	861	1544
358	863	1541
359	865	1538
360	867	1536
361	870	1534
362	872	1531
363	874	1528
364	877	1526
365	879	1523
366	881	1521
367	884	1518
368	886	1516
369	888	1513
370	891	1510
371	893	1508
372	895	1505
373	898	1503
374	900	1500
375	902	1498
376	905	1495
377	907	1493
378	909	1490
379	911	1487
380	914	1485
381	916	1482
382	918	1480
383	921	1477
384	923	1475
385	925	1472
386	928	1470
387	930	1467
388	932	1465
389	935	1462
390	937	1460
391	940	1458
392	942	1455
393	944	1453
394	947	1450
395	949	1448
396	952	1446
397	954	1443
398	957	1441
399	959	1438
400	961	1436
401	964	1434
402	966	1431
403	968	1428
404	970	1426
405	973	1423
406	975	1421
407	978	1419
408	980	1416
409	983	1414
410	985	1412
411	987	1409
412	990	1407
413	992	1404
414	994	1402
415	997	1399
416	999	1397
417	1001	1394
418	1004	1392
419	1006	1389
420	1008	1386
421	1010	1384
422	1012	1381
423	1015	1379
424	1017	1376
425	1019	1374
426	1021	1371
427	1024	1368
428	1026	1366
429	1029	1364
430	1031	1361
431	1033	1358
432	1035	1356
433	1037	1353
434	1039	1350
435	1042	1348
436	1044	1345
437	1046	1342
438	1048	1339
439	1050	1336
440	1052	1334
441	1054	1331
442	1056	1328
443	1058	1326
444	1060	1323
445	1063	1320
446	1065	1317
447	1067	1315
448	1069	1312
449	1071	1309
450	1074	1307
451	1076	1304
452	1078	1302
453	1080	1299
454	1082	1296
455	1084	1294
456	1086	1291
457	1089	1288
458	1091	1286
459	1093	1283
460	1095	1280
461	1097	1277
462	1099	1275
463	1101	1272
464	1103	1269
465	1105	1267
466	1107	1264
467	1109	1261
468	1111	1258
469	1113	1256
470	1116	1253
471	1118	1250
472	1120	1247
473	1122	1245
474	1124	1242
475	1126	1239
476	1128	1236
477	1130	1234
478	1132	1231
479	1134	1228
480	1136	1225
481	1138	1223
482	1140	1220
483	1142	1217
484	1144	1214
485	1146	1212
486	1148	1209
487	1150	1207
488	1152	1204
489	1154	1201
490	1156	1198
491	1158	1196
492	1160	1193
493	1162	1191
494	1164	1188
495	1166	1185
496	1168	1183
497	1171	1180
498	1173	1177
499	1175	1175
500	1177	1172
501	1179	1169
502	1181	1167
503	1183	1164
504	1185	1161
505	1187	1159
506	1189	1156
507	1191	1154
508	1194	1151
509	1196	1149
510	1198	1146
511	1200	1143
512	1202	1141
513	1204	1138
514	1206	1136
515	1208	1133
516	1210	1130
517	1212	1128
518	1215	1126
519	1217	1123
520	1219	1120
521	1221	1118
522	1223	1115
523	1225	1113
524	1228	1111
525	1230	1109
526	1233	1106
527	1235	1104
528	1237	1101
529	1239	1098
530	1241	1096
531	1243	1093
532	1245	1091
533	1248	1089
534	1250	1087
535	1252	1084
536	1254	1082
537	1257	1079
538	1259	1077
539	1262	1075
540	1264	1072
541	1267	1070
542	1270	1068
543	1272	1066
544	1275	1064
545	1277	1061
546	1279	1059
547	1281	1056
548	1283	1054
549	1285	1052
550	1288	1049
551	1290	1047
552	1292	1044
553	1294	1042
554	1296	1039
555	1298	1037
556	1300	1034
557	1302	1032
558	1305	1029
559	1307	1026
560	1309	1024
561	1311	1021
562	1313	1019
563	1315	1017
564	1318	1014
565	1320	1012
566	1322	1009
567	1324	1007
568	1326	1004
569	1328	1002
570	1330	999
571	1332	997
572	1334	994
573	1336	992
574	1338	989
575	1341	987
576	1343	984
577	1345	982
578	1348	980
579	1350	977
580	1352	975
581	1354	972
582	1356	970
583	1359	968
584	1361	965
585	1363	963
586	1365	960
587	1367	958
588	1370	956
589	1372	953
590	1374	951
591	1376	949
592	1379	946
593	1381	944
594	1383	941
595	1385	939
596	1388	937
597	1390	934
598	1392	932
599	1395	930
600	1397	927
601	1399	925
602	1401	922
603	1404	920
604	1406	918
605	1408	915
606	1410	913
607	1413	911
608	1415	908
609	1417	906
610	1420	904
611	1422	901
612	1424	899
613	1426	897
614	1429	894
615	1433	893
616	1436	891
617	1439	889
618	1442	887
619	1445	885
620	1448	883
621	1451	881
622	1453	879
623	1456	877
624	1459	875
625	1462	873
626	1465	871
627	1467	869
628	1470	867
629	1473	865
630	1475	863
631	1478	860
632	1481	858
633	1483	856
634	1486	854
635	1488	852
636	1491	849
637	1493	847
638	1496	845
639	1498	843
640	1501	840
641	1503	838
642	1506	836
643	1508	834
644	1511	831
645	1514	829
646	1516	827
647	1519	825
648	1521	823
649	1524	820
650	1527	818
651	1529	816
652	1532	814
653	1534	811
654	1537	809
655	1539	807
656	1542	805
657	1544	802
658	1547	800
659	1549	798
660	1552	796
661	1555	793
662	1557	791
663	1560	789
664	1562	787
665	1564	784
666	1566	782
667	1569	779
668	1571	777
669	1573	774
670	1575	772
671	1577	770
672	1580	767
673	1582	765
674	1584	762
675	1586	760
676	1588	758
677	1591	755
678	1593	753
679	1595	750
680	1597	748
681	1599	745
682	1602	743
683	1604	741
684	1606	738
685	1608	736
686	1610	733
687	1613	731
688	1615	729
689	1617	726
690	1620	724
691	1622	722
692	1624	719
693	1626	717
694	1629	714
695	1632	713
696	1635	710
697	1637	708
698	1639	705
699	1641	703
700	1643	701
701	1646	698
702	1648	696
703	1650	694
704	1652	691
705	1655	689
706	1657	686
707	1660	684
708	1662	682
709	1664	679
710	1666	677
711	1669	675
712	1671	672
713	1673	670
714	1676	668
715	1678	665
716	1682	664
717	1686	662
718	1689	660
719	1693	658
720	1697	656
721	1701	655
722	1705	653
723	1708	651
724	1712	649
725	1716	647
726	1719	645
727	1723	643
728	1727	642
729	1731	640
730	1734	638
731	1738	636
732	1742	634
733	1745	632
734	1749	630
735	1752	628
736	1756	626
737	1760	624
738	1764	623
739	1767	621
740	1771	619
741	1774	617
742	1778	615
743	1782	613
744	1785	611
745	1789	609
746	1792	607
747	1797	605
748	1800	603
749	1802	600
750	1804	598
751	1807	596
752	1810	593
753	1813	591
754	1815	589
755	1818	587
756	1821	584
757	1823	582
758	1826	579
759	1828	577
760	1830	574
761	1832	572
762	1834	569
763	1836	567
764	1838	564
765	1840	562
766	1842	559
767	1844	557
768	1846	554
769	1848	552
770	1850	549
771	1852	547
772	1854	544
773	1856	542
774	1858	539
775	1860	537
776	1862	534
777	1864	532
778	1866	529
779	1868	527
780	1870	524
781	1872	522
782	1874	519
783	1876	517
784	1878	514
785	1880	511
786	1882	509
787	1884	506
788	1886	504
789	1888	501
790	1890	499
791	1892	496
792	1894	494
793	1896	491
794	1898	489
795	1900	486
796	1902	484
797	1904	481
798	1906	479
799	1908	477
800	1909	474
801	1911	471
802	1913	469
803	1915	467
804	1917	464
805	1919	462
806	1922	459
807	1924	457
808	1926	454
809	1928	452
810	1931	450
811	1933	447
812	1935	445
813	1937	442
814	1939	440
815	1942	437
816	1944	435
817	1946	433
818	1948	430
819	1950	428
820	1953	425
821	1955	423
822	1957	421
823	1959	418
824	1962	416
825	1964	413
826	1966	411
827	1968	408
828	1970	406
829	1973	404
830	1975	401
831	1977	399
832	1979	396
833	1981	394
834	1984	392
835	1986	389
836	1988	387
837	1990	384
838	1992	382
839	1994	379
840	1996	377
841	1998	375
842	2000	372
843	2003	370
844	2005	367
845	2006	365
846	2009	362
847	2011	360
848	2013	358
849	2015	355
850	2017	353
851	2019	350
852	2021	348
853	2023	345
854	2025	343
855	2028	341
856	2030	338
857	2032	336
858	2034	333
859	2036	331
860	2038	329
861	2040	326
862	2042	324
863	2044	321
864	2046	319
865	2050	317
866	2053	315
867	2057	312
868	2060	310
869	2064	308
870	2067	306
871	2071	304
872	2074	301
873	2077	299
874	2081	297
875	2085	295
876	2088	292
877	2092	290
878	2095	288
879	2098	286
880	2101	283
881	2104	281
882	2108	279
883	2111	277
884	2115	274
885	2118	272
886	2121	270
887	2125	268
888	2128	265
889	2132	263
890	2135	261
891	2138	258
892	2142	256
893	2145	254
894	2149	252
895	2152	249
896	2156	247
897	2159	245
898	2163	243
899	2165	240
900	2167	238
901	2169	235
902	2171	233
903	2173	230
904	2175	228
905	2177	225
906	2179	223
907	2181	221
908	2183	218
909	2185	216
910	2187	213
911	2189	211
912	2191	208
913	2193	206
914	2195	203
915	2197	201
916	2199	199
917	2201	196
918	2203	194
919	2205	191
920	2207	189
921	2209	186
922	2211	184
923	2213	182
924	2215	179
925	2217	177
926	2219	174
927	2221	172
928	2223	169
929	2225	167
930	2227	165
931	2229	162
932	2231	160
933	2233	157
934	2235	155
935	2237	153
936	2239	150
937	2241	148
938	2243	145
939	2245	143
940	2247	140
941	2249	138
942	2252	136
943	2254	133
944	2256	131
945	2257	128
946	2259	126
947	2261	124
948	2263	121
949	2265	119
950	2267	116
951	2269	114
952	2271	112
953	2273	109
954	2275	107
955	2277	104
956	2279	102
957	2281	100
958	2283	97
959	2285	95
960	2287	92
961	2289	90
962	2291	88
963	2293	85
964	2295	83
965	2297	80
966	2299	78
967	2301	76
968	2303	73
969	2305	71
970	2307	68
971	2309	66
972	2311	64
973	2313	61
974	2315	59
975	2317	56
976	2319	54
977	2321	52
978	2323	49
979	2325	47
980	2328	45
981	2330	42
982	2332	40
983	2335	37
984	2337	35
985	2339	33
986	2342	30
987	2344	28
988	2346	26
989	2348	23
990	2350	21
991	2352	18
992	2355	16
993	2357	14
994	2359	11
995	2361	9
996	2364	7
997	2366	4
998	2368	2
999	2370	0
