iter	Logloss
202	0.04470390837
203	0.04455071374
204	0.0444287788
205	0.04427291605
206	0.04413747955
207	0.04396333893
208	0.04388478021
209	0.04383474559
210	0.04365615393
211	0.04353394959
212	0.04343747389
213	0.04336376195
214	0.04325791627
215	0.04309756596
216	0.04301535851
217	0.04282426767
218	0.04271975042
219	0.04249919139
220	0.04233835095
221	0.04216654381
222	0.04213705999
223	0.04208192425
224	0.04187133905
225	0.04172679115
226	0.04156625888
227	0.04147119013
228	0.04134973281
229	0.04121869541
230	0.04109496527
231	0.04098445689
232	0.04090650145
233	0.04082215745
234	0.04066875395
235	0.04050669834
236	0.04035527981
237	0.04016866771
238	0.03998434239
239	0.03981022266
240	0.039753154
241	0.0396364483
242	0.03946394875
243	0.03939094083
244	0.03927184268
245	0.03911997513
246	0.03896314686
247	0.03886378591
248	0.03879112135
249	0.03873344651
250	0.03862043677
251	0.03852250889
252	0.03840665522
253	0.03835577506
254	0.03824605113
255	0.03817023492
256	0.03809063718
257	0.03803462819
258	0.03796050788
259	0.03782522072
260	0.03771142084
261	0.0375738393
262	0.03752668257
263	0.03739012463
264	0.03733839836
265	0.03723459452
266	0.03708915583
267	0.03701983807
268	0.03689170157
269	0.0368149958
270	0.03679767284
271	0.0366430401
272	0.03660190879
273	0.03649161185
274	0.03632771603
275	0.03630775075
276	0.03622773649
277	0.03616999496
278	0.03606548676
279	0.03596506791
280	0.03589165945
281	0.03583363522
282	0.03578347137
283	0.03570770352
284	0.03569813271
285	0.03558262764
286	0.03551113
287	0.03546949929
288	0.0353679972
289	0.03526422485
290	0.03519574662
291	0.03508500814
292	0.03502354864
293	0.03491657315
294	0.03484400275
295	0.03481867331
296	0.03478599103
297	0.03466546907
298	0.03459752039
299	0.03449617423
300	0.03442912002
301	0.03432994784
302	0.03427091073
303	0.03418134208
304	0.03402772031
305	0.03394844817
306	0.03392750811
307	0.033833028
308	0.03375414278
309	0.03360536345
310	0.03350889278
311	0.03340403529
312	0.03331682547
313	0.03322117087
314	0.03311852857
315	0.03306127762
316	0.03296246912
317	0.03292471778
318	0.03278465733
319	0.0327188213
320	0.03260866108
321	0.03246954236
322	0.03244116111
323	0.03239697353
324	0.03234598625
325	0.03230674553
326	0.03222673206
327	0.03220668848
328	0.03210207706
329	0.03208111008
330	0.03202016473
331	0.03189673483
332	0.03183255818
333	0.03178769929
334	0.03165142663
335	0.03159693539
336	0.03153336559
337	0.03150684757
338	0.031444168
339	0.03140819924
340	0.03131818336
341	0.0312692713
342	0.0312114422
343	0.03113032605
344	0.03107395438
345	0.03097271132
346	0.03089948917
347	0.03084132799
348	0.03077051717
349	0.03072570632
350	0.03064514195
351	0.0305534048
352	0.03048626649
353	0.03037988612
354	0.03033514843
355	0.03029375843
356	0.03020015448
357	0.03014287716
358	0.03004301077
359	0.02995092647
360	0.02990809322
361	0.02978425909
362	0.02972419917
363	0.02965467723
364	0.02958030549
365	0.0295205811
366	0.02939458674
367	0.02934566318
368	0.02928257703
369	0.02922085103
370	0.02921052078
371	0.0290991176
372	0.02902098153
373	0.0289909094
374	0.02893602086
375	0.02887310159
376	0.02874307561
377	0.02865818251
378	0.02856425073
379	0.02848659374
380	0.02840178464
381	0.02836634957
382	0.02832407649
383	0.02827957135
384	0.0282018489
385	0.02815299147
386	0.02808821288
387	0.0280606802
388	0.02802363076
389	0.0279727201
390	0.02793590479
391	0.027885963
392	0.02777212614
393	0.02771210576
394	0.02768370585
395	0.02765518252
396	0.02758345098
397	0.02751083792
398	0.02744662742
399	0.02737727649
400	0.02735354867
401	0.02729453759
402	0.02725203921
403	0.0271720817
404	0.02715661147
405	0.0271193354
406	0.02711102197
407	0.0270419123
408	0.02701274984
409	0.02697872417
410	0.02691562317
411	0.02686922375
412	0.02683355088
413	0.0267400411
414	0.02671607268
415	0.02662136215
416	0.02656202222
417	0.02650330725
418	0.02646636829
419	0.02639369726
420	0.02635358552
421	0.02631394459
422	0.02629112097
423	0.02624969757
424	0.02619999783
425	0.02609533827
426	0.02605761128
427	0.02602161873
428	0.02589122281
429	0.02585410346
430	0.02579023766
431	0.02575309697
432	0.02569332121
433	0.02567515984
434	0.02564465634
435	0.02557390784
436	0.02550318337
437	0.02544540017
438	0.02533401028
439	0.02530856221
440	0.02524865497
441	0.02520215358
442	0.02515870186
443	0.02509723734
444	0.02505312538
445	0.02501499706
446	0.02498530269
447	0.02494650173
448	0.02487918459
449	0.02479998516
450	0.02470212978
451	0.02467315139
452	0.02463411419
453	0.02454288259
454	0.0245253178
455	0.02450877784
456	0.0244934708
457	0.02439215603
458	0.02435467924
459	0.02433326971
460	0.02431840175
461	0.02426689965
462	0.02423077206
463	0.02421754874
464	0.02414474009
465	0.02408713137
466	0.02394053706
467	0.02391754344
468	0.02385783324
469	0.02384489932
470	0.0237594789
471	0.02365552929
472	0.02356637348
473	0.02354693999
474	0.02350096994
475	0.02344514749
476	0.02339505312
477	0.02330875229
478	0.02328995381
479	0.02326731448
480	0.02320849239
481	0.02316971757
482	0.02315753348
483	0.02308745271
484	0.02307170514
485	0.02299899143
486	0.02293181771
487	0.02289130845
488	0.0227885482
489	0.02272802272
490	0.02266412609
491	0.0226522571
492	0.02262238402
493	0.02260842919
494	0.02257238045
495	0.02252509796
496	0.02251874303
497	0.0224483465
498	0.02238938746
499	0.02234865034
500	0.0222384594
501	0.02220136562
502	0.02208435052
503	0.02201320461
504	0.02198476517
505	0.02194770445
506	0.02184686585
507	0.02179904955
508	0.02176621357
509	0.02169839692
510	0.02168798514
511	0.02166939843
512	0.02163805016
513	0.02161508635
514	0.02159118407
515	0.02155201473
516	0.02152084014
517	0.02145735847
518	0.02144716059
519	0.02138898445
520	0.02132301438
521	0.02125380631
522	0.02113701337
523	0.02109412115
524	0.02107388813
525	0.02104747343
526	0.02095462902
527	0.02094520353
528	0.02093519877
529	0.0208910418
530	0.02088186651
531	0.02085116798
532	0.0208396428
533	0.02075610738
534	0.02066573663
535	0.02065675838
536	0.02063446822
537	0.02062537838
538	0.02056346774
539	0.02044868492
540	0.02044104815
541	0.02039024204
542	0.02037082173
543	0.02034562174
544	0.02033818346
545	0.02031680476
546	0.02027827031
547	0.02020786763
548	0.02019917666
549	0.02018473438
550	0.02014734852
551	0.02004925298
552	0.0200192978
553	0.01999828491
554	0.01994221427
555	0.01986431076
556	0.0198284919
557	0.01981379339
558	0.01977041204
559	0.01976102173
560	0.01966352769
561	0.01963469909
562	0.01961479223
563	0.01957273338
564	0.01955447853
565	0.01952949802
566	0.01951193994
567	0.01941634207
568	0.01940841545
569	0.01929839955
570	0.01924286014
571	0.01923543627
572	0.01922778688
573	0.01921241304
574	0.01916379028
575	0.01915304229
576	0.0191347651
577	0.01905282875
578	0.0190262236
579	0.01897217245
580	0.01894188039
581	0.01893474213
582	0.01891742308
583	0.01890052222
584	0.01883871255
585	0.01877902961
586	0.01872832704
587	0.01869406916
588	0.01868034867
589	0.01860597224
590	0.01857279134
591	0.01854063974
592	0.01850704992
593	0.01845734995
594	0.01843793891
595	0.01843116523
596	0.01838408077
597	0.01836565614
598	0.01833138831
599	0.01832890427
600	0.01826131012
601	0.01821370894
602	0.01820407245
603	0.01816813162
604	0.01815932985
605	0.0181364114
606	0.01812553439
607	0.01810068949
608	0.01802453829
609	0.01795511677
610	0.01788481518
611	0.01786966205
612	0.01786330657
613	0.01785723916
614	0.01783324316
615	0.01780422099
616	0.01773367332
617	0.01772746953
618	0.01770739959
619	0.01768172365
620	0.01765517268
621	0.01761502465
622	0.01757726281
623	0.01755767964
624	0.01750512569
625	0.0174919466
626	0.01743642673
627	0.01740287523
628	0.01736681007
629	0.01736096639
630	0.01734239387
631	0.01728047217
632	0.01726539511
633	0.01722248345
634	0.017199946
635	0.01716530521
636	0.01714673492
637	0.01709710644
638	0.01708804709
639	0.01700636039
640	0.01694481846
641	0.01691508276
642	0.01690966409
643	0.01689483165
644	0.01682815398
645	0.01673902419
646	0.01666109901
647	0.01665621391
648	0.0166240555
649	0.01661831826
650	0.0165865089
651	0.01655586008
652	0.0165117976
653	0.01650357185
654	0.01648404833
655	0.01647852064
656	0.01639466477
657	0.01638954991
658	0.01633001251
659	0.01631971253
660	0.01631468692
661	0.0162596277
662	0.01624363215
663	0.01620014961
664	0.01619006253
665	0.01616493012
666	0.01610878832
667	0.01610407167
668	0.01606353012
669	0.01598481971
670	0.01598038677
671	0.01594043119
672	0.01593203488
673	0.01592705205
674	0.01587093896
675	0.01584160884
676	0.01581310461
677	0.01577521353
678	0.01575553264
679	0.0156959357
680	0.01562204336
681	0.01556223599
682	0.01556093136
683	0.01555172893
684	0.01551387516
685	0.0154748231
686	0.01547481417
687	0.01546113668
688	0.01545644918
689	0.0154197975
690	0.0153356635
691	0.0153241143
692	0.01530496006
693	0.01530053236
694	0.01528995929
695	0.01526309568
696	0.01524713721
697	0.01523898653
698	0.01522735188
699	0.01517165654
700	0.01514579374
701	0.01512474555
702	0.01509587305
703	0.01506072885
704	0.01504878446
705	0.01503865963
706	0.01503414883
707	0.01500878621
708	0.01498094368
709	0.01497189394
710	0.01493586553
711	0.01492878592
712	0.01492407708
713	0.01491257502
714	0.0148832134
715	0.01485973277
716	0.01480386273
717	0.01479925822
718	0.01478515964
719	0.01474654454
720	0.01474186072
721	0.0146931944
722	0.01468857068
723	0.01464337793
724	0.01463667742
725	0.01462390781
726	0.01458821997
727	0.01456277257
728	0.0145611553
729	0.0145387998
730	0.01448393427
731	0.01447983463
732	0.01443570826
733	0.01437247188
734	0.01436841312
735	0.01429286286
736	0.01426581785
737	0.0142279289
738	0.01421556229
739	0.01420808771
740	0.01420329432
741	0.01417462511
742	0.01415309037
743	0.01414347488
744	0.01409821925
745	0.01409401294
746	0.01408368873
747	0.01406990133
748	0.01405836375
749	0.01405455151
750	0.0140411316
751	0.01403993319
752	0.01402419276
753	0.01399676452
754	0.01395355999
755	0.01391325468
756	0.01388190753
757	0.01386137527
758	0.01379116471
759	0.01377031054
760	0.0137540649
761	0.01374708972
762	0.01372712668
763	0.01371338899
764	0.01369798454
765	0.01367006595
766	0.01366711534
767	0.01364216879
768	0.01361224712
769	0.01359922474
770	0.01359922374
771	0.01359179283
772	0.01358957641
773	0.01358226324
774	0.01356510257
775	0.01353611257
776	0.01351723958
777	0.0135028594
778	0.01349672877
779	0.0134931168
780	0.01345520227
781	0.01342121827
782	0.01338842262
783	0.01336722464
784	0.01334271729
785	0.01333854148
786	0.01331464109
787	0.01331464545
788	0.0132943597
789	0.01328522675
790	0.01326660296
791	0.01326315195
792	0.01323289853
793	0.01320904271
794	0.01320585855
795	0.01319997365
796	0.01319182251
797	0.0131627407
798	0.0131476413
799	0.01313001776
800	0.01312670883
801	0.0131266035
802	0.01310410145
803	0.01309568236
804	0.01307126325
805	0.01304901062
806	0.01304377245
807	0.01303186269
808	0.01302670517
809	0.01298292137
810	0.01297790928
811	0.01296937938
812	0.01293719114
813	0.01292964753
814	0.01291549778
815	0.01290751062
816	0.01290065942
817	0.01289295653
818	0.012886106
819	0.01286423427
820	0.01286329322
821	0.01285998954
822	0.01285856159
823	0.01283345733
824	0.01282686572
825	0.01280593347
826	0.01279983333
827	0.01277538931
828	0.01276515244
829	0.01276197275
830	0.01274683202
831	0.01270435621
832	0.01268593526
833	0.01266952241
834	0.01263531915
835	0.01261710261
836	0.01261711411
837	0.0125764392
838	0.01257642926
839	0.01256986199
840	0.01254588588
841	0.01253638767
842	0.01253638946
843	0.01251607613
844	0.012499421
845	0.012499421
846	0.01249468737
847	0.01247888763
848	0.01245926805
849	0.01244214872
850	0.01243376659
851	0.01243376659
852	0.01242794826
853	0.01240687472
854	0.01239161761
855	0.01238647415
856	0.012372055
857	0.01236900766
858	0.01234882658
859	0.01231386925
860	0.01229611066
861	0.01229501424
862	0.01229502318
863	0.01227713045
864	0.01227713949
865	0.01227413516
866	0.01226962414
867	0.0122404982
868	0.01221725784
869	0.01220506973
870	0.01219994683
871	0.01216926572
872	0.01215150413
873	0.0121435097
874	0.01213806869
875	0.01213748965
876	0.01212432608
877	0.01210976127
878	0.01210191552
879	0.0121018905
880	0.01210043307
881	0.01209537361
882	0.01208457558
883	0.01207747988
884	0.01207630661
885	0.01205680967
886	0.01204060994
887	0.01200135281
888	0.01197446674
889	0.01196092419
890	0.01195218217
891	0.01192466211
892	0.0118724141
893	0.0118519626
894	0.01183659345
895	0.01181093059
896	0.01180809805
897	0.01179797389
898	0.01175703726
899	0.01174056332
900	0.01172759556
901	0.01171422669
902	0.01168981696
903	0.01166758031
904	0.01165123538
905	0.01164848304
906	0.01164392454
907	0.01161472947
908	0.01157601753
909	0.01157328674
910	0.01157328674
911	0.01157084894
912	0.0115592277
913	0.01154817041
914	0.01153111921
915	0.01151864125
916	0.01150580663
917	0.01148137758
918	0.01146919171
919	0.01146650448
920	0.01146651364
921	0.01145884605
922	0.01143848167
923	0.01141361007
924	0.01141097569
925	0.01140355494
926	0.01135588686
927	0.01135442653
928	0.0113518529
929	0.01133122693
930	0.01132498069
931	0.01128867695
932	0.01127347234
933	0.01125963769
934	0.01125819925
935	0.01122686829
936	0.01119985891
937	0.01119736671
938	0.01116746046
939	0.01112213546
940	0.01109320968
941	0.01109319449
942	0.01108149729
943	0.01105977836
944	0.01105346622
945	0.01105345281
946	0.01103810031
947	0.01098376198
948	0.01094790157
949	0.01094043291
950	0.0109247977
951	0.01091044098
952	0.01089518219
953	0.01089520643
954	0.01089274886
955	0.0108898216
956	0.01087216723
957	0.0108721545
958	0.01083777844
959	0.01082898929
960	0.01082050563
961	0.01081489126
962	0.01080786604
963	0.01079406379
964	0.0107798086
965	0.0107798086
966	0.01076955722
967	0.01076742871
968	0.01076398663
969	0.01073942734
970	0.01071968992
971	0.01071225086
972	0.01070578502
973	0.01070209978
974	0.010694777
975	0.01067365073
976	0.01067365687
977	0.01065722359
978	0.01064572275
979	0.01063877538
980	0.01063655293
981	0.0106301912
982	0.01061660754
983	0.0105867998
984	0.01058135197
985	0.01056329337
986	0.01056232729
987	0.0105453344
988	0.01053924911
989	0.010539249
990	0.01051276773
991	0.01050476191
992	0.01048124286
993	0.01046634675
994	0.0104654458
995	0.01045997295
996	0.01044869417
997	0.01044085065
998	0.01042792087
999	0.01039616546
